"Fecha","Total de casos","Entidad"
"2022-03-03",4618,"CIUDAD DE MÉXICO"
"2022-07-20",157,"QUINTANA ROO"
"2022-02-05",1418,"MÉXICO"
"2022-04-26",2162,"CIUDAD DE MÉXICO"
"2022-07-02",10773,"CIUDAD DE MÉXICO"
"2022-01-06",1687,"TAMAULIPAS"
"2022-02-02",12047,"CIUDAD DE MÉXICO"
"2022-02-08",9965,"CIUDAD DE MÉXICO"
"2022-01-24",3342,"GUANAJUATO"
"2022-02-27",174,"QUERÉTARO"
"2022-01-05",6215,"SAN LUIS POTOSÍ"
"2022-01-10",7015,"MÉXICO"
"2022-01-07",6821,"SAN LUIS POTOSÍ"
"2022-01-31",632,"GUERRERO"
"2022-02-14",419,"TAMAULIPAS"
"2022-06-13",557,"JALISCO"
"2022-03-11",301,"GUANAJUATO"
"2022-01-02",2251,"GUANAJUATO"
"2022-01-08",26142,"CIUDAD DE MÉXICO"
"2022-03-26",2244,"CIUDAD DE MÉXICO"
"2022-01-17",2028,"BAJA CALIFORNIA SUR"
"2022-01-03",3130,"GUANAJUATO"
"2022-01-04",740,"DURANGO"
"2022-01-04",5239,"SAN LUIS POTOSÍ"
"2022-01-04",649,"CHIAPAS"
"2022-01-05",906,"DURANGO"
"2022-01-05",695,"CHIAPAS"
"2022-01-06",658,"HIDALGO"
"2022-01-06",1025,"ZACATECAS"
"2022-01-19",3854,"MÉXICO"
"2022-01-25",3505,"NUEVO LEÓN"
"2022-02-07",99,"QUINTANA ROO"
"2022-01-26",2704,"GUANAJUATO"
"2022-01-16",1302,"HIDALGO"
"2022-02-07",466,"TLAXCALA"
"2022-02-08",702,"JALISCO"
"2022-01-15",1821,"TAMAULIPAS"
"2022-01-14",1914,"CHIHUAHUA"
"2022-02-06",322,"CHIHUAHUA"
"2022-02-06",346,"TLAXCALA"
"2022-01-29",445,"NAYARIT"
"2022-02-03",226,"ZACATECAS"
"2022-02-07",491,"CHIHUAHUA"
"2022-01-08",3195,"JALISCO"
"2022-02-09",320,"MICHOACÁN DE OCAMPO"
"2022-01-20",3956,"MÉXICO"
"2022-01-11",1217,"GUERRERO"
"2022-01-28",748,"TAMAULIPAS"
"2022-02-04",455,"SONORA"
"2022-01-15",1156,"HIDALGO"
"2022-02-07",336,"MORELOS"
"2022-02-07",365,"TABASCO"
"2022-01-14",2832,"TABASCO"
"2022-02-01",1406,"SAN LUIS POTOSÍ"
"2022-01-27",835,"SINALOA"
"2022-01-20",1066,"YUCATÁN"
"2022-02-08",283,"BAJA CALIFORNIA"
"2022-02-06",114,"QUINTANA ROO"
"2022-01-07",786,"CHIAPAS"
"2022-01-18",963,"MICHOACÁN DE OCAMPO"
"2022-02-03",471,"HIDALGO"
"2022-01-09",5007,"NUEVO LEÓN"
"2022-02-06",239,"TABASCO"
"2022-01-27",900,"QUERÉTARO"
"2022-02-10",334,"GUERRERO"
"2022-01-27",1359,"PUEBLA"
"2022-02-02",960,"JALISCO"
"2022-02-03",369,"TAMAULIPAS"
"2022-02-02",337,"BAJA CALIFORNIA"
"2022-01-16",1264,"ZACATECAS"
"2022-01-29",792,"OAXACA"
"2022-01-28",787,"HIDALGO"
"2022-01-30",927,"OAXACA"
"2022-01-13",838,"MICHOACÁN DE OCAMPO"
"2022-01-28",368,"ZACATECAS"
"2022-02-05",188,"YUCATÁN"
"2022-02-06",424,"MORELOS"
"2022-01-08",2290,"BAJA CALIFORNIA"
"2022-01-12",1053,"MICHOACÁN DE OCAMPO"
"2022-01-25",792,"COLIMA"
"2022-02-11",602,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2022-01-14",1812,"MORELOS"
"2022-01-25",929,"AGUASCALIENTES"
"2022-02-01",323,"DURANGO"
"2022-01-29",244,"CAMPECHE"
"2022-01-09",763,"AGUASCALIENTES"
"2022-01-30",454,"NAYARIT"
"2022-02-01",952,"CHIAPAS"
"2022-01-19",1460,"YUCATÁN"
"2022-01-14",975,"QUINTANA ROO"
"2022-01-16",1464,"TAMAULIPAS"
"2022-02-12",866,"PUEBLA"
"2022-01-27",911,"COAHUILA DE ZARAGOZA"
"2022-01-30",271,"CAMPECHE"
"2022-02-12",294,"QUERÉTARO"
"2022-01-10",2056,"YUCATÁN"
"2022-02-12",592,"SINALOA"
"2022-02-12",210,"COAHUILA DE ZARAGOZA"
"2022-02-13",118,"DURANGO"
"2022-02-13",474,"SAN LUIS POTOSÍ"
"2022-02-13",599,"CHIAPAS"
"2022-02-14",617,"HIDALGO"
"2022-02-14",136,"ZACATECAS"
"2022-01-21",1005,"BAJA CALIFORNIA SUR"
"2022-08-08",156,"NAYARIT"
"2022-07-14",1972,"GUANAJUATO"
"2022-08-13",557,"GUANAJUATO"
"2022-07-19",653,"GUERRERO"
"2022-07-02",750,"JALISCO"
"2022-07-20",1253,"MORELOS"
"2022-07-21",1550,"NUEVO LEÓN"
"2022-07-31",212,"DURANGO"
"2022-07-10",1070,"GUERRERO"
"2022-07-11",925,"GUERRERO"
"2022-07-28",1284,"GUANAJUATO"
"2022-06-11",4595,"CIUDAD DE MÉXICO"
"2022-07-18",2351,"SAN LUIS POTOSÍ"
"2022-07-15",2059,"GUANAJUATO"
"2022-08-12",151,"HIDALGO"
"2022-07-20",877,"CHIHUAHUA"
"2022-07-30",1024,"GUANAJUATO"
"2022-08-10",347,"OAXACA"
"2022-07-21",323,"AGUASCALIENTES"
"2022-08-02",545,"CHIAPAS"
"2022-07-24",200,"CAMPECHE"
"2022-08-01",1776,"GUANAJUATO"
"2022-07-31",644,"SAN LUIS POTOSÍ"
"2022-08-02",916,"SAN LUIS POTOSÍ"
"2022-08-10",120,"NAYARIT"
"2022-08-07",388,"OAXACA"
"2022-08-08",479,"OAXACA"
"2022-06-30",11675,"CIUDAD DE MÉXICO"
"2022-08-12",176,"TAMAULIPAS"
"2022-07-22",1232,"SINALOA"
"2022-07-16",1024,"COAHUILA DE ZARAGOZA"
"2022-07-22",782,"COAHUILA DE ZARAGOZA"
"2022-07-31",546,"CHIAPAS"
"2022-08-09",181,"MICHOACÁN DE OCAMPO"
"2022-08-12",136,"ZACATECAS"
"2022-08-02",236,"DURANGO"
"2022-07-25",2876,"GUANAJUATO"
"2022-08-06",233,"MICHOACÁN DE OCAMPO"
"2022-08-05",516,"PUEBLA"
"2022-08-05",359,"QUERÉTARO"
"2022-07-24",719,"OAXACA"
"2022-06-06",6123,"CIUDAD DE MÉXICO"
"2022-07-27",362,"MICHOACÁN DE OCAMPO"
"2022-08-10",54,"CAMPECHE"
"2022-07-09",985,"TAMAULIPAS"
"2022-07-17",791,"OAXACA"
"2022-07-05",1440,"QUERÉTARO"
